name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
soon,0.003177,0.00585,0.00528,0.002923,0.004467,0.005792,0.005158,0.003873,0.004559,0.006104
miss,0.002088,0.005666,0.005117,0.00354,0.004194,0.007672,0.005585,0.002672,0.004501,0.006129
found,0.003441,0.00258,0.003248,0.023252,0.001393,0.002982,0.00233,0.002618,0.002612,0.002211
http://t.co/scs3oyebsk,0.000126,0.000975,0.012838,0.020392,0.009378,0.0,0.000908,0.001565,0.000382,0.0
thing,0.003706,0.003641,0.00284,0.002476,0.008818,0.004541,0.003596,0.007267,0.004821,0.004691
vote,0.003225,0.00522,0.013703,0.002709,0.006894,0.001091,0.008073,0.001228,0.002382,0.001786
chicago,0.003441,0.00276,0.002064,0.002459,0.001895,0.004976,0.005165,0.002166,0.001962,0.019398
sunday,0.00142,0.005325,0.004636,0.003218,0.006176,0.007043,0.004214,0.001869,0.00661,0.005759
takes,0.001823,0.001781,0.001706,0.031736,0.00135,0.001417,0.001364,0.001053,0.001434,0.001682
long,0.004711,0.003401,0.003052,0.001922,0.002341,0.004547,0.004212,0.002814,0.004957,0.013294
sxmelectro,0.000114,0.00747,0.00439,0.012185,0.01633,0.001594,0.000661,0.000479,0.000282,0.001527
stage,0.001979,0.008486,0.002236,0.001922,0.010456,0.009026,0.002584,0.001538,0.00202,0.004754
trance_bzz,0.000114,0.003866,0.002179,0.006928,0.000373,0.007997,0.000284,0.00058,0.000487,0.022181
real,0.008459,0.005306,0.00213,0.001815,0.002269,0.005878,0.003293,0.00392,0.005406,0.006355
baby,0.001402,0.001819,0.000881,0.022108,0.001465,0.002839,0.004381,0.001424,0.004261,0.004141
step,0.001486,0.000656,0.000571,0.000259,0.000129,0.000703,0.00072,0.002598,0.035304,0.002211
adrfm,0.0,0.027084,0.002008,0.009405,0.005974,0.0,0.0,0.0,0.0,0.0
adventure,0.000235,0.015396,0.000596,0.00683,0.000402,0.001651,0.001159,0.015492,0.001377,0.001275
thinking,0.001306,0.002779,0.001004,0.028822,0.000689,0.002942,0.001073,0.002348,0.001612,0.001519
